ID,Composition,Space group number,a,b,c,alpha,beta,gamma,Ionic conductivity (S cm-1),DOI,CIF,Synthesis Method
0lo,Li0.54La1.14Ti2.0O6.0,123,3.873,3.873,7.75,90.0,90.0,90.0,0.00034,10.1021/cm001207u,No Match,
hta,La1.13Li0.61Ti2.0O6.0,123,3.8727,3.8727,7.751,90.0,90.0,90.0,0.000957,10.1016/s0167-2738(00)00761-x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The La$_{2/3-x}$Li$_{3x}$TiO$_3$ perovskite materials were synthesized using a conventional solid-state reaction method. Initially, lanthanum oxide (La$_2$O$_3$) was pre-heated. Stoichiometric amounts of lithium carbonate (Li$_2$CO$_3$), the pre-heated La$_2$O$_3$, and titanium dioxide (TiO$_2$) were thoroughly ground together in an agate mortar. This mixture was then calcined to decompose the carbonate and eliminate carbon dioxide. The resulting product was reground, followed by an intermediate calcination step. Subsequently, the powder was cold-pressed into cylindrical pellets. These pellets then underwent a final high-temperature sintering step. For most samples, slow cooling was employed, but for specific compositions (e.g., x=0.167), quenching into liquid nitrogen from the final sintering temperature was also performed for comparative studies.

**Key Conditions:**
*   **Precursors:** Li$_2$CO$_3$ (Merck), La$_2$O$_3$ (Aldrich 99.99%), TiO$_2$ (Aldrich 99%).
*   **La$_2$O$_3$ Pre-treatment:** Heated at 700°C prior to weighing.
*   **First Calcination (Powder):** 800°C for 4 hours.
*   **Intermediate Calcination (Powder):** 1150°C for 12 hours.
*   **Pressing:** Cold-pressed at 150 MPa into cylindrical pellets.
*   **Final Sintering (Pellets):** 1350°C for 6 hours.
*   **Heating Rate:** 1°C/min for all heating treatments.
*   **Atmosphere:** Not explicitly stated for synthesis; typically air for such oxide solid-state reactions. (A dry N$_2$ flow was used for electrical conductivity measurements, not synthesis).
*   **Cooling:** Slow cooling was generally used. For specific samples (e.g., La$_{1.0}$Li$_{1.0}$Ti$_{2.0}$O$_{6.0}$ which corresponds to x=0.167), quenching from 1350°C into liquid nitrogen was also performed."
s3h,La1.0Li1.0Ti2.0O6.0,123,3.8688,3.86885,7.7462,90.0,90.0,90.0,0.000925,10.1016/s0167-2738(00)00761-x,Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The La$_{2/3-x}$Li$_{3x}$TiO$_3$ perovskite materials were synthesized using a conventional solid-state reaction method. Initially, lanthanum oxide (La$_2$O$_3$) was pre-heated. Stoichiometric amounts of lithium carbonate (Li$_2$CO$_3$), the pre-heated La$_2$O$_3$, and titanium dioxide (TiO$_2$) were thoroughly ground together in an agate mortar. This mixture was then calcined to decompose the carbonate and eliminate carbon dioxide. The resulting product was reground, followed by an intermediate calcination step. Subsequently, the powder was cold-pressed into cylindrical pellets. These pellets then underwent a final high-temperature sintering step. For most samples, slow cooling was employed, but for specific compositions (e.g., x=0.167), quenching into liquid nitrogen from the final sintering temperature was also performed for comparative studies.

**Key Conditions:**
*   **Precursors:** Li$_2$CO$_3$ (Merck), La$_2$O$_3$ (Aldrich 99.99%), TiO$_2$ (Aldrich 99%).
*   **La$_2$O$_3$ Pre-treatment:** Heated at 700°C prior to weighing.
*   **First Calcination (Powder):** 800°C for 4 hours.
*   **Intermediate Calcination (Powder):** 1150°C for 12 hours.
*   **Pressing:** Cold-pressed at 150 MPa into cylindrical pellets.
*   **Final Sintering (Pellets):** 1350°C for 6 hours.
*   **Heating Rate:** 1°C/min for all heating treatments.
*   **Atmosphere:** Not explicitly stated for synthesis; typically air for such oxide solid-state reactions. (A dry N$_2$ flow was used for electrical conductivity measurements, not synthesis).
*   **Cooling:** Slow cooling was generally used. For specific samples (e.g., La$_{1.0}$Li$_{1.0}$Ti$_{2.0}$O$_{6.0}$ which corresponds to x=0.167), quenching from 1350°C into liquid nitrogen was also performed."
86o,La1.22Li0.36Ti2.0O6.0,123,3.8695,3.8695,7.778,90.0,90.0,90.0,0.000412,10.1016/s0167-2738(98)00070-8,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
2lu,La1.1Li0.72Ti2.0O6.0,123,3.868,3.868,7.751,90.0,90.0,90.0,0.000688,10.1016/s0167-2738(98)00070-8,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
bd5,La1.08Li0.78Ti2.0O6.0,123,3.867,3.867,7.748,90.0,90.0,90.0,0.000651,10.1016/s0167-2738(98)00070-8,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
ukw,La1.04Li0.9Ti2.0O6.0,123,3.8673,3.8673,7.739,90.0,90.0,90.0,0.000501,10.1016/s0167-2738(98)00070-8,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
5h8,La1.16Li0.54Ti2.0O6.0,123,3.87,3.87,7.773,90.0,90.0,90.0,0.000599,10.1016/s0167-2738(98)00070-8,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
vwy,La1.12Li0.66Ti2.0O6.0,123,3.8675,3.8675,7.758,90.0,90.0,90.0,0.000668,10.1016/s0167-2738(98)00070-8,Close Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. Reagent grade La2O3, Li2CO3, and TiO2 precursors were initially dried in a vacuum. The required amounts of these dried reagents, with an intentional excess of Li2CO3 to compensate for lithium evaporation during high-temperature processing, were thoroughly mixed in an agate mortar. This mixture was then subjected to an initial heating step to expel CO2 gas, followed by calcination. The calcined products were reground and subsequently cold-pressed into pellets. These pellets were then sintered at a high temperature. To obtain samples with a disordered arrangement of A-site ions (simple cubic perovskite), the sintered pellets were rapidly quenched from the sintering temperature into liquid nitrogen. To obtain samples with an ordered arrangement of A-site ions (tetragonal, doubled perovskite), the previously quenched pellets were subjected to an annealing step at a lower temperature for an extended period, followed by subsequent quenching from the annealing temperature.

**Key Conditions:**
*   **Precursor Drying:** 140°C for 5 hours in a vacuum.
*   **Initial Heating (CO2 expulsion):** 650°C for 2 hours.
*   **Calcination:** 800°C for 12 hours on Au-boats.
*   **Pelletization:** Cold-pressed at 250 MPa.
*   **Sintering:** 1350°C for 1 hour in a covered MgO crucible.
*   **Quenching (for disordered samples):** From 1350°C into liquid nitrogen.
*   **Annealing (for ordered samples):** 800°C for 3 days, followed by quenching from 800°C (implied into liquid nitrogen)."
2ha,La1.12Li0.66Ti2.0O6.0,123,3.89816,3.89816,7.8519,90.0,90.0,90.0,0.000165,10.1016/j.jallcom.2013.04.195,No Match,
il5,Nd0.5Li0.5Ta2.0O6.0,123,3.872,3.872,7.73,90.0,90.0,90.0,1.31e-08,10.1016/s0167-2738(98)00414-7,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. High-purity metal oxides (La2O3, Nd2O3, Sm2O3, Ta2O5) and lithium carbonate (Li2CO3) served as starting materials. The rare-earth oxides were initially pre-fired. A stoichiometric mixture of these precursors was then calcined and subsequently ground. The resulting powder was formed into pellets by uniaxial pressing, followed by isostatic pressing. These pellets were then subjected to a two-stage high-temperature firing process, with an intermediate grinding step, to ensure the formation of dense, single-phase solid solutions.

**Key Conditions:**
*   **Pre-firing of R2O3 (La2O3, Nd2O3, Sm2O3):** 773 K (500°C) for 6 hours.
*   **Calcination:** 973 K (700°C) for 12 hours in air, followed by grinding.
*   **Pellet Pressing:** Uniaxial at 30 MPa, then isostatic at 200 MPa.
*   **Sintering/Firing:** 1773 K (1500°C) for 48 hours, repeated twice with intermediate grinding, in a covered alumina crucible (implied air atmosphere)."
r1m,Sm0.5Li0.5Ta2.0O6.0,123,3.859,3.859,7.71,90.0,90.0,90.0,4.32e-10,10.1016/s0167-2738(98)00414-7,No Match,"**Method Name:** Solid State Reaction

**Procedure Summary:**
The materials were synthesized using a conventional solid-state reaction method. High-purity metal oxides (La2O3, Nd2O3, Sm2O3, Ta2O5) and lithium carbonate (Li2CO3) served as starting materials. The rare-earth oxides were initially pre-fired. A stoichiometric mixture of these precursors was then calcined and subsequently ground. The resulting powder was formed into pellets by uniaxial pressing, followed by isostatic pressing. These pellets were then subjected to a two-stage high-temperature firing process, with an intermediate grinding step, to ensure the formation of dense, single-phase solid solutions.

**Key Conditions:**
*   **Pre-firing of R2O3 (La2O3, Nd2O3, Sm2O3):** 773 K (500°C) for 6 hours.
*   **Calcination:** 973 K (700°C) for 12 hours in air, followed by grinding.
*   **Pellet Pressing:** Uniaxial at 30 MPa, then isostatic at 200 MPa.
*   **Sintering/Firing:** 1773 K (1500°C) for 48 hours, repeated twice with intermediate grinding, in a covered alumina crucible (implied air atmosphere)."
nua,Li2.0La2.0Ti2.0O8.0,129,3.77,3.77,12.076,90.0,90.0,90.0,1e-15,10.4028/www.scientific.net/msf.321-324.965,Match,
3rx,Li2.0Nd2.0Ti2.0O8.0,129,3.7465,3.7465,11.895,90.0,90.0,90.0,1e-15,10.4028/www.scientific.net/msf.321-324.965,Match,
7e5,La2.6Li0.2Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90.0,90.0,90.0,1.8e-07,10.1016/j.ssi.2004.05.010,Match,"**1. Method Name:**
Conventional Solid-State Reaction Technique

**2. Procedure Summary:**
The materials, with compositions corresponding to $(La_{2/3-1/3p}Li_p)(Mg_{1/2}W_{1/2})O_3$ where p = 0.05, 0.11, and 0.14, were synthesized using a multi-step solid-state reaction. Stoichiometric amounts of starting materials ($La_2O_3$, $Li_2CO_3$, $WO_3$, and MgO) were initially ground together. This mixture was then pelletized and subjected to a two-stage calcination process, with an intermediate regrinding and pelletizing step. After the second calcination, the resulting powder was reground again and pressed into final pellets. These pellets were then sintered. Two types of samples were produced based on the final cooling step:
*   **LLMW (furnace-cooled):** The sintered pellets were allowed to cool slowly inside the furnace.
*   **LLMWq (quenched):** The sintered pellets were reheated and then rapidly quenched in liquid nitrogen.

**3. Key Conditions:**
*   **Starting Materials:** $La_2O_3$ (4 N), $Li_2CO_3$ (3 N), $WO_3$ (4 N), MgO (3 N).
*   **First Calcination:** 1373 K for 12 hours.
*   **Second Calcination:** 1373 K for 12 hours.
*   **Sintering (for LLMW):** 1423 K for 6 hours, followed by furnace cooling.
*   **Quenching (for LLMWq):** Reheated at 1373 K for 30 minutes, then quenched in liquid nitrogen.
*   **Atmosphere:** Not explicitly stated, but implied to be air for conventional solid-state reaction."
sib,La2.52Li0.44Mg2.0W2.0O12.0,129,5.534,5.534,7.903,90.0,90.0,90.0,6.8e-06,10.1016/j.ssi.2004.05.010,Match,"**1. Method Name:**
Conventional Solid-State Reaction Technique

**2. Procedure Summary:**
The materials, with compositions corresponding to $(La_{2/3-1/3p}Li_p)(Mg_{1/2}W_{1/2})O_3$ where p = 0.05, 0.11, and 0.14, were synthesized using a multi-step solid-state reaction. Stoichiometric amounts of starting materials ($La_2O_3$, $Li_2CO_3$, $WO_3$, and MgO) were initially ground together. This mixture was then pelletized and subjected to a two-stage calcination process, with an intermediate regrinding and pelletizing step. After the second calcination, the resulting powder was reground again and pressed into final pellets. These pellets were then sintered. Two types of samples were produced based on the final cooling step:
*   **LLMW (furnace-cooled):** The sintered pellets were allowed to cool slowly inside the furnace.
*   **LLMWq (quenched):** The sintered pellets were reheated and then rapidly quenched in liquid nitrogen.

**3. Key Conditions:**
*   **Starting Materials:** $La_2O_3$ (4 N), $Li_2CO_3$ (3 N), $WO_3$ (4 N), MgO (3 N).
*   **First Calcination:** 1373 K for 12 hours.
*   **Second Calcination:** 1373 K for 12 hours.
*   **Sintering (for LLMW):** 1423 K for 6 hours, followed by furnace cooling.
*   **Quenching (for LLMWq):** Reheated at 1373 K for 30 minutes, then quenched in liquid nitrogen.
*   **Atmosphere:** Not explicitly stated, but implied to be air for conventional solid-state reaction."
r99,La2.48Li0.56Mg2.0W2.0O12.0,129,5.533,5.533,7.903,90.0,90.0,90.0,1.2e-05,10.1016/j.ssi.2004.05.010,Match,"**1. Method Name:**
Conventional Solid-State Reaction Technique

**2. Procedure Summary:**
The materials, with compositions corresponding to $(La_{2/3-1/3p}Li_p)(Mg_{1/2}W_{1/2})O_3$ where p = 0.05, 0.11, and 0.14, were synthesized using a multi-step solid-state reaction. Stoichiometric amounts of starting materials ($La_2O_3$, $Li_2CO_3$, $WO_3$, and MgO) were initially ground together. This mixture was then pelletized and subjected to a two-stage calcination process, with an intermediate regrinding and pelletizing step. After the second calcination, the resulting powder was reground again and pressed into final pellets. These pellets were then sintered. Two types of samples were produced based on the final cooling step:
*   **LLMW (furnace-cooled):** The sintered pellets were allowed to cool slowly inside the furnace.
*   **LLMWq (quenched):** The sintered pellets were reheated and then rapidly quenched in liquid nitrogen.

**3. Key Conditions:**
*   **Starting Materials:** $La_2O_3$ (4 N), $Li_2CO_3$ (3 N), $WO_3$ (4 N), MgO (3 N).
*   **First Calcination:** 1373 K for 12 hours.
*   **Second Calcination:** 1373 K for 12 hours.
*   **Sintering (for LLMW):** 1423 K for 6 hours, followed by furnace cooling.
*   **Quenching (for LLMWq):** Reheated at 1373 K for 30 minutes, then quenched in liquid nitrogen.
*   **Atmosphere:** Not explicitly stated, but implied to be air for conventional solid-state reaction."
lol,Li8.0P2.0S8.0I2.0,129,8.48284,8.48284,5.93013,90.0,90.0,90.0,0.00012,10.1021/acs.chemmater.7b00013,Match,
d7f,Li12.0Bi4.0O16.0,136,8.75298,8.75298,4.22469,90.0,90.0,90.0,4.1e-10,10.1016/j.ssi.2015.10.016,Close Match,"1.  **Method Name:** Solid State Reaction (also referred to as Ceramic Synthesis)

2.  **Procedure Summary:**
    The synthesis involved preparing an intimate mixture of bismuth oxide (Bi2O3) and lithium oxide (Li2O) as precursors. A 10 mol% excess of Li2O was used relative to the stoichiometric Bi:Li ratio required for the desired final oxide phase. This mixture was then ball milled for 30 minutes using a Spex Miller, with the stainless steel milling jars being filled and emptied in an argon-filled glove box to maintain an inert atmosphere. The resulting milled powder was pressed into pellets, each with a diameter of 13 mm and a thickness of 3 mm. These pellets were subsequently heated in a quartz crucible under specific temperature, duration, and atmospheric conditions to form the final lithium bismuth oxide compounds.

3.  **Key Conditions:**
    *   **Li24.0Bi8.0O24.0 (Li3BiO3):** Heated at 450 °C for 16 hours under Argon flow.
    *   **Li10.0Bi2.0O10.0 (Li5BiO5):** Heated at 650 °C for 24 hours in air.
    *   **Li8.0Bi8.0O16.0 (LiBiO2):** Heated at 500 °C for 24 hours in air.
    *   **Li12.0Bi4.0O16.0 (Li3BiO4):** Heated at 500 °C for 24 hours in air."
52b,Li20.1Ge2.1P3.9S24.0,137,8.6944,8.6944,12.6003,90.0,90.0,90.0,0.0122,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
8po,Li20.4Ge2.4P3.6S24.0,137,8.7043,8.7043,12.616,90.0,90.0,90.0,0.0132,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
ya8,Li21.0Ge3.0P3.0S24.0,137,8.7025,8.7025,12.6251,90.0,90.0,90.0,0.011,10.1039/c4ta05231e,No Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
j8q,Li20.0Ge2.0P4.0S24.0,137,8.719,8.719,12.639,90.0,90.0,90.0,0.0121,10.1039/c4ta05231e|10.1021/acs.chemmater.7b00886,Close Match,"**Method Name:** Solid-State Reaction

**Procedure Summary:**
The Li-Ge-P-S solid solution materials were synthesized through a multi-step solid-state reaction process. First, the precursor powders (P₂S₅, Li₂S, and GeS₂) were precisely weighed according to the desired stoichiometry and thoroughly ground in a vibrating mill for 30 minutes. This mixed powder was then pressed into pellets under high pressure. These pellets were sealed in a silica tube under reduced pressure and subjected to an initial heat treatment. After cooling, the resulting products were reground and remixed, then repelletized under the same high pressure. A second heat treatment was performed on these pellets. Finally, for ionic conductivity measurements, samples were pelletized again under slightly lower pressure and subjected to a third, higher temperature sintering step.

**Key Conditions:**
*   **Precursors:** P₂S₅ (99% purity), Li₂S (>99.9% purity), GeS₂ (>99.99% purity).
*   **Initial Grinding:** Vibrating mill for 30 minutes.
*   **First Pelletization:** 220 MPa.
*   **First Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube at 30 Pa (vacuum).
    *   Temperature: 673 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 2.2 K min⁻¹.
    *   Cooling Rate: 0.60 K min⁻¹.
*   **Second Pelletization:** 220 MPa.
*   **Second Heat Treatment:**
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 823 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.0 K min⁻¹.
    *   Cooling Rate: 0.76 K min⁻¹.
*   **Final Sintering (for conductivity samples):**
    *   Pelletization Pressure: 165 MPa.
    *   Atmosphere: Sealed in a silica tube (implied vacuum/inert atmosphere).
    *   Temperature: 873 K.
    *   Dwell Time: 8 hours.
    *   Heating Rate: 3.3 K min⁻¹.
    *   Cooling Rate: 0.83 K min⁻¹."
